title,artist,release,year,position
Wuthering Heights,Kate Bush,1978,2014,117
Earth Song,Michael Jackson,1995,2014,118
Somebody That I Used To Know,Gotye,2011,2014,119
Where The Streets Have No Name,U2,1987,2014,120
Here Comes The Sun,The Beatles,1969,2014,121
The Unforgettable Fire,U2,1985,2014,122
Still Got The Blues,Gary Moore,1990,2014,123
I Still Haven't Found What I'm Looking For,U2,1987,2014,124
Oude Maasweg,The Amazing Stroopwafels,1982,2014,125
Losing My Religion,R.E.M.,1991,2014,126
Dancing Queen,ABBA,1976,2014,127
Billie Jean,Michael Jackson,1983,2014,128
Empire State Of Mind,Alicia Keys,2009,2014,129
Space Oddity,David Bowie,1969,2014,130
Laat Me,Ramses Shaffy,1978,2014,131
Jeanny,Falco,1985,2014,132
The Day Before You Came,ABBA,1982,2014,133
Zeg Me Dat Het Niet Zo Is,Frank Boeijen,1990,2014,134
The Winner Takes It All,ABBA,1980,2014,135
Window Of My Eyes,Cuby & The Blizzards,1968,2014,136
She,Charles Aznavour,1974,2014,137
Everybody Hurts,R.E.M.,1993,2014,138
Sex On Fire,Kings Of Leon,2008,2014,139
Dat Ik Je Mis,Maaike Ouboter,2013,2014,140
Street Spirit,Radiohead,1995,2014,141
Enjoy The Silence,Depeche Mode,1990,2014,142
I Put A Spell On You,Creedence Clearwater Revival,1972,2014,143
The Boxer,Simon & Garfunkel,1969,2014,144
Calm After The Storm,The Common Linnets,2014,2014,145
This Is What It Feels Like,Armin van Buuren,2013,2014,146
Come As You Are,Nirvana,1991,2014,147
A Day In The Life,The Beatles,1967,2014,148
One,U2 & Mary J Blige,2007,2014,149
Ne me Quitte Pas,Jacques Brel,1965,2014,150
Suspicious Minds,Elvis Presley,1969,2014,151
The End,The Doors,1967,2014,152
Back To Black,Amy Winehouse,2006,2014,153
Hallelujah,Leonard Cohen,1984,2014,154
Bad,U2,1984,2014,155
All Along The Watchtower,Jimi Hendrix Experience,1968,2014,156
Fields Of Gold,Sting,1993,2014,157
The Show Must Go On,Queen,1991,2014,158
Uprising,Muse,2009,2014,159
Don't Give Up The Fight,Racoon,2011,2014,160
When The Lady Smiles,Golden Earring,1984,2014,161
Kryptonite,3 Doors Down,2007,2014,162
Kayleigh,Marillion,1985,2014,163
Wonderwall,Oasis,1995,2014,164
Iedereen Is Van De Wereld,The Scene,1991,2014,165
Knights Of Cydonia,Muse,2006,2014,166
Kashmir,Led Zeppelin,1975,2014,167
Nobody's Wife,Anouk,1997,2014,168
Saturday Night,Herman Brood,1978,2014,169
Bloed Zweet En Tranen ,Andre Hazes,2002,2014,170
Echoes,Pink Floyd,1971,2014,171
Zing Vecht Huil Bid Lach Werk En Bewonder,Ramses Shaffy,1971,2014,172
Born To Run,Bruce Springsteen,1975,2014,173
Get Lucky,Daft Punk,2013,2014,174
Californication ,Red Hot Chili Peppers,2000,2014,175
While My Guitar Gently Weeps,The Beatles,1968,2014,176
One Day Like This,Elbow,2008,2014,177
Paranoid Android,Radiohead,1997,2014,178
You Can't Always Get What You Want,The Rolling Stones,1969,2014,179
Home Again,Kensington,2013,2014,180
Like A Hurricane,Neil Young,1977,2014,181
Beautiful Day,U2,2000,2014,182
Streets Of Philadelphia,Bruce Springsteen,1994,2014,183
Shoes Of Lightning,Racoon,2013,2014,184
Ruthless Queen,Kayak,1979,2014,185
Baba O'Riley,The Who,1971,2014,186
Heart Of Gold,Neil Young,1972,2014,187
The Man With The Child In His Eyes,Kate Bush,1978,2014,188
In The End,Linkin Park,2001,2014,189
Don't Give Up,Peter Gabriel & Kate Bush,1986,2014,190
Papaoutai,Stromae,2013,2014,191
Dreadlock Holiday,10CC,1978,2014,192
Under Pressure,Queen & David Bowie,1981,2014,193
Don't You (Forget About Me),Simple Minds,1985,2014,194
Yellow,Coldplay,2000,2014,195
Jeremy,Pearl Jam,1991,2014,196
Summer Of '69,Bryan Adams,1984,2014,197
Paradise City,Guns N' Roses,1989,2014,198
Man In The Mirror,Michael Jackson,1988,2014,199
The Cave,Mumford & Sons,2009,2014,200
Everlong,Foo Fighters,1997,2014,201
Proud Mary,Ike & Tina Turner,1971,2014,202
Bed Of Roses,Bon Jovi,1993,2014,203
A Night Like This,Caro Emerald,2009,2014,204
Seven Nation Army,The White Stripes,2003,2014,205
I Follow Rivers,Triggerfinger,2012,2014,206
Graceland,Paul Simon,1987,2014,207
Lithium,Nirvana,1991,2014,208
Halo Of Flies,Alice Cooper,1973,2014,209
Angel Of Death,Slayer,1986,2014,210
Testament,Boudewijn De Groot,1967,2014,211
Thriller,Michael Jackson,1983,2014,212
Birds,Anouk,2013,2014,213
Haus Am See,Peter Fox,2009,2014,214
Mama,Genesis,1983,2014,215
Samba Pa Ti,Santana,1973,2014,216
Als Ze Er Niet Is,De Dijk,1994,2014,217
Ice Queen,Within Temptation,2002,2014,218
I Want To Break Free,Queen,1984,2014,219
Paradise,Coldplay,2011,2014,220
Karma Police,Radiohead,1997,2014,221
Blauw,The Scene,1991,2014,222
De Vondeling Van Ameland,Boudewijn De Groot,2004,2014,223
Dust In The Wind,Kansas,1978,2014,224
Dream On,Aerosmith,1973,2014,225
Give Me Love,Ed Sheeran,2012,2014,226
Sara,Fleetwood Mac,1980,2014,227
Lightning Crashes,Live,1995,2014,228
Zo Stil,Blof,2012,2014,229
Somewhere Only We Know,Keane,2004,2014,230
The A Team,Ed Sheeran,2011,2014,231
Wind Of Change,Scorpions,1991,2014,232
No Woman No Cry,Bob Marley & The Wailers,1975,2014,233
Money For Nothing,Dire Straits,1985,2014,234
Old Man,Neil Young,1972,2014,235
Wake Me Up,Avicii,2013,2014,236
California Dreamin',The Mamas & The Papas,1966,2014,237
(I Can't Get No) Satisfaction,The Rolling Stones,1965,2014,238
White Rabbit,Jefferson Airplane,1970,2014,239
Halt Mich,Herbert Gronemeyer,1988,2014,240
Society,Eddie Vedder,2007,2014,241
These Are the Days Of Our Lives,Queen,1991,2014,242
Eagle,ABBA,1978,2014,243
Layla,Eric Clapton,1992,2014,244
Lost,Anouk,2005,2014,245
Nothing Really Matters,Mr. Probz,2014,2014,246
Pompeii,Bastille,2013,2014,247
Troy,Sinead O'Connor,1987,2014,248
Barcelona,Freddie Mercury,1987,2014,249
Redemption Song,Bob Marley & The Wailers,1980,2014,250
Verdronken Vlinder,Boudewijn de Groot,1966,2014,251
Liverpool Rain,Racoon,2012,2014,252
Good Vibrations,The Beach Boys,1966,2014,253
The Man Who Can't Be Moved,The Script,2008,2014,254
Laat Me (Vivre),Ramses Shaffy & Liesbeth List & Alderliefste,2005,2014,255
No Mercy,Racoon,2011,2014,256
Ain't No Sunshine,Bill Withers,1971,2014,257
Ring Of Fire,Johnny Cash,1963,2014,258
Can I Play With Madness,Iron Maiden,1988,2014,259
She Sells Sanctuary,The Cult,1986,2014,260
