title,artist,release,year,position
Hallelujah,Lisa Lois,2009,2014,593
Smokers Outside The Hospital Doors,Editors,2007,2014,594
Wake Me Up When September Ends,Green Day,2005,2014,595
Running Up That Hill,Kate Bush,1985,2014,596
Real Men,Joe Jackson,1982,2014,597
Lego House,Ed Sheeran,2012,2014,598
Basket Case,Green Day,1994,2014,599
Little Green Bag,George Baker Selection,1969,2014,600
The Lady In Red,Chris De Burgh,1986,2014,601
Born Slippy,Underworld,1996,2014,602
How You Gonna See Me Now,Alice Cooper,1979,2014,603
Memory,Barbra Streisand,1982,2014,604
Lippy Kids,Elbow,2011,2014,605
Moondance,Van Morrison,1970,2014,606
You've Got A Friend,James Taylor,1971,2014,607
Don't Stop,Fleetwood Mac,1977,2014,608
Mad World,Gary Jules,2002,2014,609
Oh Well - Part 1,Fleetwood Mac,1969,2014,610
I'm Going Home,Ten Years After,1971,2014,611
Unchained Melody,The Righteous Brothers,1965,2014,612
You Know I'm No Good,Amy Winehouse,2007,2014,613
Come Together,The Beatles,1969,2014,614
In Nije Dei,De Kast,1997,2014,615
Nightswimming,R.E.M.,1992,2014,616
My Boy,Elvis Presley,1975,2014,617
Suzanne,Herman Van Veen,1969,2014,618
After Midnight,JJ Cale,1972,2014,619
Het Is Een Nacht,Guus Meeuwis & Vagant,1995,2014,620
I Won't Give Up,Jason Mraz,2012,2014,621
Frozen,Madonna,1998,2014,622
Tunnel Of Love ,Dire Straits,1980,2014,623
No Surrender,Kane,2009,2014,624
Won't Get Fooled Again,The Who,1971,2014,625
Have A Little Faith In Me,John Hiatt,1989,2014,626
If You Leave Me Now,Chicago,1976,2014,627
Last Christmas,Wham,1984,2014,628
Whatever You Want,Status Quo,1979,2014,629
Who'll Stop The Rain,Creedence Clearwater Revival,1970,2014,630
Bright Eyes,Art Garfunkel,1979,2014,631
So Incredible,Ilse DeLange,2008,2014,632
Layla,Derek & The Dominos,1971,2014,633
Flappie,Youp van 't Hek,1981,2014,634
My Generation,The Who,1965,2014,635
Locomotive Breath,Jethro Tull,1972,2014,636
Not An Addict,K's choice,1996,2014,637
You've Got A Friend,Carole King,1971,2014,638
You Ain't Seen Nothing Yet,Bachman Turner Overdrive,1974,2014,639
Sweet Caroline,Neil Diamond,1969,2014,640
Take Me Home Country Roads,John Denver,1971,2014,641
Mrs. Robinson,Simon & Garfunkel,1968,2014,642
I've Got Dreams To Remember,Otis Redding,1968,2014,643
Zij,Marco Borsato,2002,2014,644
Total Eclipse Of The Heart,Bonnie Tyler,1983,2014,645
They Don't Care About Us,Michael Jackson,1996,2014,646
Waterfront,Simple Minds,1984,2014,647
Careless Whisper,George Michael,1984,2014,648
Royals,Lorde,2013,2014,649
Sailing,Rod Stewart,1975,2014,650
I'd Do Anything For Love,Meat Loaf,1993,2014,651
Russians,Sting,1985,2014,652
The Best,Tina Turner,1989,2014,653
Never Tear Us Apart,INXS,1988,2014,654
Als Het Vuur Gedoofd Is,Acda En De Munnik,1997,2014,655
Venus,Shocking Blue,1969,2014,656
Sweet Goodbyes,Krezip,2009,2014,657
Otherside,Red Hot Chili Peppers,2003,2014,658
Message To My Girl,Split Enz,1984,2014,659
(Everything I Do) I Do It For You,Bryan Adams,1991,2014,660
Ironic,Alanis Morissette,1995,2014,661
Band On The Run,Wings,1974,2014,662
'39,Queen,1975,2014,663
Mamma Mia,ABBA,1975,2014,664
A Gentleman's Excuse Me,Fish,1990,2014,665
Eternal Flame,Bangles,1989,2014,666
A Sky Full Of Stars,Coldplay,2014,2014,667
Ain't Got No - I Got Life,Nina Simone,1968,2014,668
Brown Sugar,The Rolling Stones,1971,2014,669
Only Time,Enya,2000,2014,670
You'll Never Walk Alone,Gerry & The Pacemakers,1963,2014,671
We Are The Champions,Queen,1977,2014,672
Do They Know It's Christmas,Band Aid,1984,2014,673
Blurred Lines,Robin Thicke,2013,2014,674
Try,Pink,2012,2014,675
Close To The Edge,Yes,1972,2014,676
Driving Home For Christmas,Chris Rea,1986,2014,677
Sinds 1 Dag Of 2 (32 Jaar),Doe Maar,1981,2014,678
Waiting On A Friend,The Rolling Stones,1981,2014,679
Tequila Sunrise,Eagles,1973,2014,680
Think,Aretha Franklin,1968,2014,681
Knocking On Heaven's Door,Bob Dylan,1973,2014,682
How Deep Is Your Love,Bee Gees,1977,2014,683
Limburg,Rowwen Heze,1996,2014,684
Let's Dance,David Bowie,1983,2014,685
Every Little Thing She Does Is Magic,The Police,1981,2014,686
Dreamer,Supertramp,1974,2014,687
Down Down,Status Quo,1975,2014,688
Always,Bon Jovi,1994,2014,689
Het Werd Zomer,Rob de Nijs,1977,2014,690
Biko,Peter Gabriel,1980,2014,691
Leaving On A Jet Plane,John Denver,1969,2014,692
You Can Call Me Al,Paul Simon,1986,2014,693
Three Days In A Row,Anouk,2009,2014,694
Tonight,Tina Turner & David Bowie,1988,2014,695
Once Upon A Time In The West,Ennio Morricone,1968,2014,696
I Heard It Through The Grapevine,Creedence Clearwater Revival,1973,2014,697
Foto Van Vroeger,Rob de Nijs,1980,2014,698
Red Red Wine,UB40,1983,2014,699
Get Back,The Beatles,1969,2014,700
He Ain't Heavy He's My Brother,The Hollies,1969,2014,701
Droomland,Paul de Leeuw & André Hazes,1993,2014,702
Michelle,The Beatles,1966,2014,703
Breaking The Habit,Linkin Park,2004,2014,704
Autobahn,Kraftwerk,1975,2014,705
Song 2,Blur,1997,2014,706
Stay,Rihanna feat. Mikky Ekko,2013,2014,707
Sweet Dreams,Eurythmics,1983,2014,708
The Times Are A-Changing,Bob Dylan,1964,2014,709
Sexual Healing,Marvin Gaye,1982,2014,710
She Flies On Strange Wings,Golden Earring,1971,2014,711
Slowdancing In A Burning Room,John Mayer,2006,2014,712
Anne,Herman van Veen,1986,2014,713
You're So Vain,Carly Simon,1973,2014,714
Smooth Operator,Sade,1984,2014,715
Teardrop,Massive Attack,1998,2014,716
Mr. Jones,Counting Crows,1994,2014,717
I Am The Walrus,The Beatles,1967,2014,718
You Do Something To Me,Paul Weller,1995,2014,719
Jumping Jack Flash,The Rolling Stones,1968,2014,720
Sloop John B,The Beach Boys,1966,2014,721
Hall Of Fame,The Script & will.i.am,2012,2014,722
Sign 'O' The Times,Prince,1987,2014,723
Jimmy,Boudewijn de Groot,1973,2014,724
Let Love Rule,Lenny Kravitz,1989,2014,725
Annie's Song,John Denver,1976,2014,726
Crazy Little Thing Called Love,Queen,1979,2014,727
Mensch,Herbert Gronemeyer,2004,2014,728
The Eve Of The War,Jeff Wayne & Justin Hayward,1978,2014,729
Eye Of The Tiger,Survivor,1982,2014,730
Bedshaped,Keane,2004,2014,731
You,Ten Sharp,1991,2014,732
Sailing To Philadelphia,James Taylor & Mark Knopfler,2000,2014,733
Here i go again,Whitesnake,1987,2014,734
De Blues Verlaat Je Nooit,De Dijk,2012,2014,735
Ashes To Ashes,David Bowie,1980,2014,736
Suicide Is Painless,M.A.S.H.,1970,2014,737
Can't Stop Loving You,Phil Collins,2002,2014,738
Private Dancer,Tina Turner,1984,2014,739
Baggy Trousers,Madness,1980,2014,740
Suzie Q,Creedence Clearwater Revival,1968,2014,741
Just Say Yes,Snow Patrol,2009,2014,742
It's A Man's Man's World,James Brown,1966,2014,743
I Alone,Live,1995,2014,744
Hurt,Christina Aguilera,2006,2014,745
Lullaby,The Cure,1989,2014,746
Counting Stars,One Republic,2013,2014,747
You're My Best Friend,Queen,1976,2014,748
Niemand In De Stad,De Dijk,1990,2014,749
Wicked Game,Chris Isaak,1991,2014,750
Teach Your Children,Crosby Stills Nash & Young,1970,2014,751
Toen Ik Je Zag,Hero,1997,2014,752
Fire And Rain,James Taylor,1970,2014,753
Blauwe Ruis,Blof,2002,2014,754
Our House,Crosby Stills Nash & Young,1970,2014,755
Il Volo,Zucchero Fornaciari,1996,2014,756
Somebody Will Know Somebody,Cuby & The Blizzards,1967,2014,757
Shut Your Eyes,Snow Patrol,2007,2014,758
I'm Not So Tough,Ilse DeLange,1998,2014,759
The One I Love,R.E.M.,1987,2014,760
Lover Of The Light,Mumford & Sons,2012,2014,761
Sterrenstof,De Jeugd Van Tegenwoordig,2010,2014,762
Atlas,Coldplay,2013,2014,763
Mijn Vlakke Land,Jacques Brel,1965,2014,764
Tranen Gelachen,Guus Meeuwis,2007,2014,765
Cocaine,JJ Cale,1976,2014,766
Scarborough Fair,Simon & Garfunkel,1966,2014,767
Let Me Entertain You,Robbie Williams,1998,2014,768
Binnen Zonder Kloppen,De Dijk,1985,2014,769
Everybody Needs Somebody To Love,The Blues Brothers,1989,2014,770
Happy New Year,ABBA,1980,2014,771
Strong,London Grammar,2014,2014,772
Narcotic,Liquido,1998,2014,773
Apache,The Shadows,1960,2014,774
A Kind Of Magic,Queen,1986,2014,775
Never Be Clever,Herman Brood,1979,2014,776
Sgt Pepper's Lonely Hearts Club Band,The Beatles,1967,2014,777
Denis,Blondie,1978,2014,778
Anyplace Anywhere Anytime,Nena & Kim Wilde,2004,2014,779
China Girl,David Bowie,1983,2014,780
Non Non Rien N'A Changé ,Poppys,1971,2014,781
Respect,Aretha Franklin,1967,2014,782
Breakthru,Queen,1989,2014,783
I Have A Dream,ABBA,1979,2014,784
Massachusetts,Bee Gees,1967,2014,785
Jailhouse Rock,Elvis Presley,1957,2014,786
Chiquitita,ABBA,1979,2014,787
School's Out,Alice Cooper,1972,2014,788
Jesus He knows me,Genesis,1992,2014,789
Heal The World,Michael Jackson,1992,2014,790
Top Of The World,Carpenters,1973,2014,791
Words,Bee Gees,1968,2014,792
I Say A Little Prayer,Aretha Franklin,1968,2014,793
Rosanna,Toto,1982,2014,794
I Just Can't Help Believin',Elvis Presley,1972,2014,795
Beds Are Burning,Midnight Oil,1988,2014,796
Red Mij Niet,Maarten van Roozendaal,2001,2014,797
Sound And Vision,David Bowie,1977,2014,798
What's Up,4 Non Blondes,1993,2014,799
Forever Autumn,Jeff Wayne & Justin Hayward,1978,2014,800
Don't Fear The Reaper,Blue Oyster Cult,1976,2014,801
I Want It All,Queen,1989,2014,802
Breakeven,The Script,2008,2014,803
Mooi Liedje,Acda en De Munnik,1997,2014,804
Where The Wild Roses Grow,Kylie Minogue & Nick Cave,2002,2014,805
Talk,Coldplay,2005,2014,806
So Lonely,The Police,1979,2014,807
Rumour Has It,Adele,2011,2014,808
Story Of My Life,One Direction,2013,2014,809
Crazy On You,Heart,1977,2014,810
How To Save A Life,The Fray,2005,2014,811
Crazy,Seal,1991,2014,812
Mijn Van Straat Geredde Roos,De Dijk,2008,2014,813
Summertime,Brainbox,1969,2014,814
(Something Inside) So Strong,Labi Siffre,1987,2014,815
In A Lifetime,Clannad,1986,2014,816
Carry On Wayward Son,Kansas,1977,2014,817
Alles Is Liefde,Blof,2007,2014,818
Moonlight Shadow,Mike Oldfield & Maggie Reilly,1983,2014,819
Home,Michael Buble,2004,2014,820
Motorcycle Emptiness,Manic Street Preachers,1992,2014,821
Nightporter,Japan,1980,2014,822
Four Seasons In One Day,Crowded House,1992,2014,823
The Life I Live,Q65,1966,2014,824
It's A Long Way There,Little River Band,1976,2014,825
Speed Of Sound,Coldplay,2005,2014,826
Fly Me To The Moon,Frank Sinatra,1964,2014,827
7 Seconds,Youssou N'Dour & Neneh Cherry,1994,2014,828
Girl,Anouk,2004,2014,829
Blueberry Hill,Fats Domino,1957,2014,830
Black Or White,Michael Jackson,1991,2014,831
You Took The Words Right Out Of My Mouth,Meat Loaf,1979,2014,832
Appleknockers Flophouse,Cuby & The Blizzards,1969,2014,833
When I Was Your Man,Bruno Mars,2013,2014,834
Ruby Tuesday,The Rolling Stones,1967,2014,835
Little Lies,Fleetwood Mac,1987,2014,836
Nikita,Elton John,1985,2014,837
Lemon Tree,Fools Garden,1996,2014,838
Glory Days,Bruce Springsteen,1985,2014,839
Nightboat To Cairo,Madness,1980,2014,840
Two Out Of Three Ain't Bad,Meat Loaf,1977,2014,841
Tuesday Afternoon,The Moody Blues,1968,2014,842
Fake Plastic Trees,Radiohead,1995,2014,843
Blue Bittersweet,Ilse Delange,2013,2014,844
Breakfast In America,Supertramp,1979,2014,845
Could You Be Loved,Bob Marley & The Wailers,1980,2014,846
Johnny B. Goode,Chuck Berry,1958,2014,847
Mercedes Benz,Janis Joplin,1970,2014,848
De Weg,Guus Meeuwis,2005,2014,849
Linger,The Cranberries,1993,2014,850
Ordinary World,Duran Duran,1993,2014,851
Dani California,Red Hot Chili Peppers,2006,2014,852
Disarm,Smashing Pumpkins,2003,2014,853
Fool To Cry,The Rolling Stones,1976,2014,854
Groot Hart,De Dijk,1985,2014,855
Honky Tonk Women,The Rolling Stones,1969,2014,856
State Of Independence,Donna Summer,1982,2014,857
Harvest,Neil Young,1972,2014,858
Miss You,The Rolling Stones,1978,2014,859
Nescio,Nits,1983,2014,860
Everywhere,Fleetwood Mac,1988,2014,861
Drive,R.E.M.,1992,2014,862
Watermensen,3JS,2008,2014,863
Nergens Goed Voor,De Dijk,1989,2014,864
Europa (Earth's Cry Heaven Smile),Santana,1977,2014,865
Are You Gonna Go My Way,Lenny Kravitz,1993,2014,866
Mirrors,Justin Timberlake,2013,2014,867
Peter Gunn ,Emerson Lake & Palmer,1980,2014,868
It Was A Very Good Year,Frank Sinatra,1965,2014,869
Get Ready,Rare Earth,1970,2014,870
Diamonds,The Boxer Rebellion,2013,2014,871
Yesterday When I Was Young,Charles Aznavour,1970,2014,872
Dancin' Fool,Frank Zappa,1979,2014,873
Uncertain Smile,The The,1984,2014,874
Wrong,Novastar,1999,2014,875
Locked Out of Heaven,Bruno Mars,2012,2014,876
Unchain My Heart,Joe Cocker,1987,2014,877
Start Me Up,The Rolling Stones,1981,2014,878
Roar,Katy Perry,2013,2014,879
Road To Nowhere,Talking Heads,1985,2014,880
Rebel Rebel,David Bowie,1974,2014,881
Bird Of Paradise,Snowy White,1984,2014,882
A Change Is Gonna Come,Sam Cooke,1964,2014,883
Born To Be Wild,Steppenwolf,1968,2014,884
Holes,Passenger,2013,2014,885
Storm And Thunder,Earth & Fire,1971,2014,886
Like A Prayer,Madonna,1989,2014,887
Kalverliefde,Robert Long,1974,2014,888
Gaia,Valensia,1993,2014,889
Waterloo,ABBA,1974,2014,890
Touch Me,The Doors,1969,2014,891
Disco Inferno,The Trammps,1977,2014,892
No One Knows,Queens Of The Stone Age,2002,2014,893
Hello,Lionel Richie,1984,2014,894
You're The Voice,John Farnham,1987,2014,895
The Living Years,Mike & The Mechanics,1989,2014,896
Belgie,Het Goede Doel,1982,2014,897
Con Te Partiro,Andrea Bocelli,1996,2014,898
Candle In The Wind (1997),Elton John,1997,2014,899
Songbird,Eva Cassidy,1998,2014,900
Firestarter,Prodigy,1996,2014,901
Kingston Town,UB40,1990,2014,902
Going To A Town,Rufus Wainwright,2007,2014,903
Papa Can You Hear Me?,Barbra Streisand,1983,2014,904
Marian,The Cats,1969,2014,905
The Air That I Breathe,The Hollies,1974,2014,906
MacArthur Park,Donna Summer,1978,2014,907
Love Is A Battlefield,Pat Benatar,1984,2014,908
Big Log,Robert Plant,1983,2014,909
Titanium,David Guetta & Sia,2011,2014,910
Waiting On A Sunny Day,Bruce Springsteen,2003,2014,911
N'oubliez Jamais,Joe Cocker,1997,2014,912
Glory Box,Portishead,1994,2014,913
Rock 'n Roll Highschool,Ramones,1980,2014,914
The Blower's Daughter,Damien Rice,2004,2014,915
No Surprises,Radiohead,1997,2014,916
Working Class Hero,John Lennon,1970,2014,917
The Worker,Fischer-Z,1979,2014,918
Help,The Beatles,1965,2014,919
Ik Heb Je Lief,Stef Bos,1992,2014,920
Come On Eileen,Dexy's Midnight Runners,1982,2014,921
My Heart Will Go On,Celine Dion,1998,2014,922
Streets Of London,Ralph McTell,1972,2014,923
Ik Wou Dat Ik Jou Was,Veldhuis & Kemper,2003,2014,924
The Wall Street Shuffle,10CC,1974,2014,925
Life's What You Make It,Talk Talk,1985,2014,926
El Condor Pasa,Simon & Garfunkel,1970,2014,927
Everybody Wants To Rule The World,Tears For Fears,1985,2014,928
Flink Zijn,Robert Long,1977,2014,929
Aanzoek Zonder Ringen,Blof,2007,2014,930
Hide In Your Shell,Supertramp,1974,2014,931
Can't Help Falling In Love With You,Elvis Presley,1961,2014,932
I'm Yours,Jason Mraz,2008,2014,933
My Sweet Lord,George Harrison,1970,2014,934
Working On A Dream,Bruce Springsteen,2008,2014,935
It's My Life,Talk Talk,1984,2014,936
Self Esteem,The Offspring,1995,2014,937
With You,Matt Simons,2013,2014,938
Relight My Fire,Dan Hartman,1980,2014,939
On Every Street,Dire Straits,1992,2014,940
Somebody To Love,George Michael,1993,2014,941
Hunting High And Low,A-Ha,1986,2014,942
Keep On Loving You,REO Speedwagon,1981,2014,943
Why Tell Me Why,Anita Meyer,1981,2014,944
Lay All Your Love On Me,ABBA,1981,2014,945
I Wish,Stevie Wonder,1977,2014,946
Love Like Blood,Killing Joke,1985,2014,947
San Francisco,Scott McKenzie,1967,2014,948
MacArthur Park,Richard Harris,1968,2014,949
Shape of my heart,Sting,1993,2014,950
Stuck In A Moment,U2,2000,2014,951
Sex Machine,James Brown,1970,2014,952
Lucy In The Sky With Diamonds,The Beatles,1967,2014,953
When I'm Sixty Four,The Beatles,1967,2014,954
As Tears Go By,The Rolling Stones,1966,2014,955
Yours Is No Disgrace,Yes,1971,2014,956
Don't Speak,No Doubt,1996,2014,957
Scarlet Ribbons,The Cats,1969,2014,958
One More Time,Daft Punk,2000,2014,959
Wanted Dead Or Alive,Bon Jovi,1987,2014,960
I Will Survive,Gloria Gaynor,1979,2014,961
Listen To The Music,The Doobie Brothers,1972,2014,962
I Want You,Bob Dylan,1966,2014,963
Love Is All,Roger Glover & Guests,1975,2014,964
Candy,Iggy Pop & Kate Pierson,1990,2014,965
Wonderful World,Sam Cooke,1960,2014,966
Cowboys And Angels,George Michael,1990,2014,967
Ordinary People,John Legend,2005,2014,968
In My Life,The Beatles,1965,2014,969
Bicycle Race,Queen,1978,2014,970
If You Don't Know Me By Now,Simply Red,1989,2014,971
Roundabout ,Yes,1972,2014,972
This Is Not America,David Bowie & Pat Metheny,1985,2014,973
Voor Ik Vergeet,Spinvis,2002,2014,974
Sledgehammer,Peter Gabriel,1986,2014,975
We All Stand Together,Paul McCartney,1985,2014,976
Just Can't Get Enough,Depeche Mode,1985,2014,977
Tie Your Mother Down,Queen,1977,2014,978
Georgia On My Mind,Ray Charles,1960,2014,979
Avalon,Roxy Music,1982,2014,980
The Way It Is,Bruce Hornsby & The Range,1986,2014,981
Beautiful People,Melanie,1969,2014,982
Make Me Smile (Come Up And See Me),Steve Harley & Cockney Rebel,1975,2014,983
Sunshine Of Your Love,Cream,1968,2014,984
Read All About It pt.III,Emili Sandé,2013,2014,985
Terug Naar De Kust,Maggie MacNeal,1976,2014,986
Mull Of Kintyre,Wings,1977,2014,987
Dancing In The Street,David Bowie & Mick Jagger,1985,2014,988
She's A Rainbow,The Rolling Stones,1967,2014,989
You Oughta Know,Alanis Morissette,1995,2014,990
De Kapitein Deel II,Acda en De Munnik,2000,2014,991
Black Night,Deep Purple,1970,2014,992
Why Worry,Dire Straits,1985,2014,993
House For Sale,Lucifer,1975,2014,994
Auto Vliegtuug,Rowwen Heze,1999,2014,995
Little Talks,Of Monsters and Men,2012,2014,996
Tears in the morning,The Beach Boys,1970,2014,997
Proud Mary,Creedence Clearwater Revival,1969,2014,998
If You Tolerate This Your Children Will Be Next,Manic Street Preachers,1998,2014,999
Zwart Wit,Frank Boeijen,1984,2014,1000
Sometimes You Can't Make It On Your Own,U2,2004,2014,1001
Waterloo Sunset,The Kinks,1967,2014,1002
Good Riddance (Time Of Your Life),Green Day,1997,2014,1003
Don't Dream It's Over,Crowded House,1987,2014,1004
Circle Of Life,Elton John,1994,2014,1005
Orinoco Flow,Enya,1988,2014,1006
A Different Corner,George Michael,1986,2014,1007
Give A Little Bit,Supertramp,1977,2014,1008
Hald Mich 's Vas,Neet Oet Lottum,2005,2014,1009
Perhaps Love,John Denver,1981,2014,1010
Stir It Up,Bob Marley & The Wailers,1979,2014,1011
An American Trilogy,Elvis Presley,1972,2014,1012
Kijk Omhoog,Nick & Simon,2007,2014,1013
She's Leaving Home,The Beatles,1967,2014,1014
Close To Me,The Cure,1985,2014,1015
Mr. Bojangles,Sammy Davis Jr.,1972,2014,1016
Sammy,Ramses Shaffy,1966,2014,1017
Son Of A Preacher Man,Dusty Springfield,1968,2014,1018
Everybody's Changing,Keane,2004,2014,1019
Need You Now,Lady Antebellum,2010,2014,1020
You're Beautiful,James Blunt,2005,2014,1021
Hart Van Mijn Gevoel,De Kast,1999,2014,1022
Vertigo,U2,2004,2014,1023
Weak,Skunk Anansie,1995,2014,1024
Vivo Per Lei,Andrea Bocelli,1996,2014,1025
Brother,Racoon,2006,2014,1026
Magic,Coldplay,2014,2014,1027
Porcelain,Moby,1999,2014,1028
Do I Wanna Know,Arctic Monkeys,2013,2014,1029
The First Time Ever I Saw Your Face,Roberta Flack,1972,2014,1030
Gold,Spandau Ballet,1983,2014,1031
Heartbreak Warfare,John Mayer,2010,2014,1032
Une Belle Histoire,Paul De Leeuw & Alderliefste,2006,2014,1033
Down Man,Brainbox,1969,2014,1034
Walking On The Moon,The Police,1979,2014,1035
Shout!,Tears For Fears,1985,2014,1036
Daar Gaat Ze,Clouseau,1990,2014,1037
Monday Monday,The Mamas & The Papas,1966,2014,1038
Islands In The Stream,Dolly Parton & Kenny Rogers,1983,2014,1039
Give Up Your Guns,The Buoys,1972,2014,1040
Binnen,Marco Borsato,1999,2014,1041
Song Of The Marching Children,Earth & Fire,1971,2014,1042
Stand By Me,Ben E. King,1987,2014,1043
The Wrong Direction,Passenger,2013,2014,1044
Ouverture,The Who,1969,2014,1045
Hungry Heart,Bruce Springsteen,1980,2014,1046
Lessons In Love,Level 42,1986,2014,1047
Oxygene IV,Jean Michel Jarre,1977,2014,1048
World Of Hurt,Ilse DeLange,1998,2014,1049
I Wish It Would Rain Down,Phil Collins,1990,2014,1050
I Started A Joke,Bee Gees,1969,2014,1051
Als Het Golft,De Dijk,2000,2014,1052
Budapest,George Ezra,2014,2014,1053
The Rising,Bruce Springsteen,2002,2014,1054
I Don't Wanna Hurt,Anouk,2008,2014,1055
Goodbye My Lover,James Blunt,2005,2014,1056
Diamonds,Rihanna,2012,2014,1057
Sowing The Seeds Of Love,Tears For Fears,1989,2014,1058
Intro / Sweet Jane,Lou Reed,1974,2014,1059
Still Believe,Herman Brood,1978,2014,1060
Babel,Mumford & Sons,2013,2014,1061
People Help The People,Birdy,2011,2014,1062
The Eyes Of Jenny,Sandy Coast,1981,2014,1063
I've Been Loving You Too Long,Otis Redding,1965,2014,1064
Magnificent,U2,2009,2014,1065
Where Is The Love,The Black Eyed Peas,2003,2014,1066
In The Year 2525,Zager & Evans,1969,2014,1067
I Want You To Want Me,Cheap Trick,1979,2014,1068
Theme From Harry's game,Clannad,1983,2014,1069
On The Road Again,Canned Heat,1968,2014,1070
25 Or 6 To 4,Chicago,1970,2014,1071
Forbidden Colours,David Sylvian,1983,2014,1072
Heaven,Bryan Adams,1985,2014,1073
Long As I Can See The Light,Creedence Clearwater Revival,1970,2014,1074
Take The Long Way Home,Supertramp,1979,2014,1075
Move On Up,Curtis Mayfield,1971,2014,1076
Casser La Voix (Live),Patrick Bruel,1992,2014,1077
Jesus To A Child,George Michael,1996,2014,1078
Close To You,Michael Prins,2013,2014,1079
You Make Me Feel Like A Natural Woman,Aretha Franklin,1967,2014,1080
Smalltown Boy,Bronski Beat,1984,2014,1081
Waiting On The World To Change,John Mayer,2006,2014,1082
De Bestemming,Marco Borsato,1998,2014,1083
Mandy,Barry Manilow,1974,2014,1084
A Long December,Counting Crows,1996,2014,1085
Friday I'm In Love,The Cure,1992,2014,1086
For The First Time,The Script,2010,2014,1087
The Dolphin’s Cry,Live,1999,2014,1088
Belle Helene,Doe Maar,1982,2014,1089
Boulevard De La Madeleine,The Moody Blues,1966,2014,1090
Show Me The Way,Peter Frampton,1976,2014,1091
Human Nature,Michael Jackson,1983,2014,1092
Josephine,Chris Rea,1985,2014,1093
Remedy,Black Crowes,1992,2014,1094
It's Raining Men,Weather Girls,1983,2014,1095
Voir Un Ami Pleurer,Jacques Brel,1961,2014,1096
Back It Up,Caro Emerald,2009,2014,1097
The Way You Make Me Feel,Michael Jackson,1987,2014,1098
She Will Be Loved,Maroon 5,2004,2014,1099
Smooth,Santana & Rob Thomas,1999,2014,1100
Fernando,ABBA,1976,2014,1101
Hoe,Nielson & Miss Montreal,2013,2014,1102
Never Gonna Give You Up,Rick Astley,1987,2014,1103
More Than Words,Extreme,1991,2014,1104
Beast Of Burden,Bette Midler,1984,2014,1105
New York Minute,Don Henley,1989,2014,1106
No Son Of Mine,Genesis,1991,2014,1107
Het Land Van Maas En Waal,Boudewijn de Groot,1967,2014,1108
Year Of Summer (acoustic),Niels Geusebroek,2013,2014,1109
I Feel Love,Donna Summer,1977,2014,1110
Mushanga,Toto,1988,2014,1111
Demons,Imagine Dragons,2012,2014,1112
Vluchten Kan Niet Meer,Frans Halsema & Jenny Arean,1977,2014,1113
True Colours,Cyndi Lauper,1986,2014,1114
Gloria,Them,1967,2014,1115
Boys Don't Cry,The Cure,1986,2014,1116
In Dreams,Roy Orbison,1963,2014,1117
Driver's Seat,Sniff 'n The Tears,1980,2014,1118
Everything,Michael Buble,2007,2014,1119
Sky On Fire,Handsome Poets,2012,2014,1120
Wat Zou Je Doen,Blof,1998,2014,1121
Stay With Me Till The Morning,Vicki Brown & New London Chorale,1986,2014,1122
Had To Fall In Love,The Moody Blues,1978,2014,1123
I Can't Make You Love Me ,Bonnie Raitt,1991,2014,1124
Hilversum 3,Herman van Veen,1984,2014,1125
Run To You,Bryan Adams,1985,2014,1126
Midnight Rambler,The Rolling Stones,1969,2014,1127
Wild Rover,Dubliners,1964,2014,1128
Banger Hart,Rob de Nijs,1996,2014,1129
Celluloid Heroes,The Kinks,1973,2014,1130
At Seventeen,Janis Ian,1975,2014,1131
Summertime,Ella Fitzgerald & Louis Armstrong,1957,2014,1132
Maggie May,Rod Stewart,1971,2014,1133
Love Her Madly,The Doors,1971,2014,1134
Walking In Memphis,Marc Cohn,1991,2014,1135
Speeltuin,Marco Borsato,1998,2014,1136
Jerusalem,Anouk,2005,2014,1137
Around The World,Daft Punk,1997,2014,1138
It's  A Beautiful Day,Michael Buble,2013,2014,1139
Back Home,Golden Earring,1970,2014,1140
Lost,Coldplay,2008,2014,1141
Tainted Love,Soft Cell,1981,2014,1142
Don't Let Me Be Misunderstood,Santa Esmeralda,1977,2014,1143
September Morn',Neil Diamond,1979,2014,1144
Dromen Zijn Bedrog,Marco Borsato,1994,2014,1145
Absolute Beginners,David Bowie,1986,2014,1146
Big Love,Fleetwood Mac,1987,2014,1147
Isn't It Time,The Babys,1977,2014,1148
Zeg Maar Niets Meer,Andre Hazes,1982,2014,1149
Mannish Boy,Muddy Waters,1988,2014,1150
Born On The Bayou,Creedence Clearwater Revival,1969,2014,1151
Because The Night,Patti Smith,1978,2014,1152
Le Freak,Chic,1978,2014,1153
Bend And Break,Keane,2005,2014,1154
Always Look On The Bright Side Of Life,Monty Python,1981,2014,1155
Sir Duke,Stevie Wonder,1977,2014,1156
De Waarheid,Marco Borsato,1996,2014,1157
Winter In Hamburg,Frank Boeijen,1987,2014,1158
All You Need Is Love,The Beatles,1967,2014,1159
Dodenrit,Drs. P,1974,2014,1160
Little Red Rooster,The Rolling Stones,1965,2014,1161
Save A Prayer ,Duran Duran,1985,2014,1162
Moon Over Bourbon Street,Sting,1985,2014,1163
A Ton of Love,Editors,2013,2014,1164
Human Touch,Bruce Springsteen,1992,2014,1165
Me Gustas Tu,Manu Chao,2000,2014,1166
Don't Answer Me,The Alan Parsons Project,1984,2014,1167
